#DAY  DATE     ROUTE    FLT NO  AIRCRAFT          CLASS  MILEAGE   TOTAL

THU   3SEP15  JFK-BHX  AA130   757      N197AN   BUSINESS  2936
SUN   6SEP15  LHR-PRG  BA856   AB320    G-EUYC   ECON       566
TUE   8SEP15  PRG-FRA  LH1399  737      D-ABEI   ECON       220
WED   9SEP15  FRA-DFW  LH438   AB340    D-AIGV   ECON      4470

TUE  22SEP15  DFW-SLC  AA1316  737      N957AN   FIRST      859
SAT  26SEP15  SLC-DFW  AA1430  737      N823NN   ECON       859

FRI   2OCT15  DFW-COS  AA1105  MD80     N9681B   ECON       514
SUN   4OCT15  COS-DFW  AA1431  MD80     N439AA   ECON       514

SAT  10OCT15  DFW-XNA  AA3340  CRJ700   N536EA   FIRST      243
SUN  11OCT15  XNA-DFW  AA3062  CRJ700   N538EG   ECON       243

MON  19OCT15  DFW-EWR  AA1564  737      N929NN   ECON      1192
FRI  23OCT15  LGA-ORF  AA4130  EM145    N611AE   ECON       257
FRI  23OCT15  ORF-DFW  AA294   MD80     N9629H   ECON      1053

FRI  30OCT15  DFW-PHL  AA585   AB321    N923US   ECON      1131
SAT  31OCT15  PHL-ELM  AA4752  DASH8    N938HA   ECON       156
SUN   1NOV15  ELM-PHL  AA4752  DASH8    N937HA   ECON       156
MON   2NOV15  PHL-DFW  AA751   AB321    N977UY   ECON      1131

FRI   6NOV15  DFW-ORD  AA1142  737      N910NN   ECON       698
SAT   7NOV15  ORD-AZO  AA3511  EM145    N928AE   ECON       106
SUN   8NOV15  GRR-DFW  AA5816  CRJ900   N245LR   ECON       809

FRI   4DEC15  DFW-PHL  AA2343  737      N970NN   ECON      1131
SAT   5DEC15  PHL-ELM  AA4752  DASH8    N810EX   ECON       156
SUN   6DEC15  ITH-PHL  AA4788  DASH8    N931HA   ECON       166
SUN   6DEC15  PHL-DFW  AA1848  AB321    N971UY   ECON      1131

THU  10DEC15  DFW-IAH  AA1054  737      N845NN   ECON       195
THU  10DEC15  BPT-DFW  AA2747  EM145    N633AE   ECON       235

THU  17DEC15  DFW-BPT  AA2811  CRJ200   N909EV   ECON       235
THU  17DEC15  BPT-DFW  AA2788  EM145    N629AE   ECON       235

FRI  25DEC15  DFW-CLT  AA2110  EM190    N961UW   FIRST      812
FRI  25DEC15  CLT-FRA  AA704   AB330    N290AY   BUSINESS  3822
SAT  26DEC15  FRA-FCO  AZ407   AB319    EI-IMU   ECON       515
THU  31DEC15  MXP-AUH  EY88    AB340    A6-EHK   ECON      2547
THU  31DEC15  AUH-HKG  EY834   AB330    A6-EYR   ECON      3245
THU   7JAN16  CAN-SHA  CZ3525  AB330    B-6056   ECON       633
SAT   9JAN16  PVG-ORD  AA288   777      N779AN   FIRST     6134
SAT   9JAN16  ORD-DFW  AA2349  787      N802AN   ECON       698

MON  18JAN16  DFW-FRA  AA70    777      N773AN   FIRST     4470
TUE  19JAN16  FRA-GVA  LH1218  737      D-ABEK   ECON       248
WED  20JAN16  GVA-ZRH  LX2817  BAE146   HB-IYV   ECON       124
THU  21JAN16  ZRH-CPH  LX1272  AB320    HB-IJB   ECON       514
FRI  22JAN16  CPH-ORD  SK943   AB340    LN-RKP   ECON      3712
FRI  22JAN16  ORD-DFW  AA2327  AB319    N9021H   ECON       698

FRI  19FEB16  DFW-MFE  AA1643  MD80     N487AA   ECON       407
SUN  21FEB16  MFE-DFW  AA1565  MD80     N470AA   ECON       407

FRI  11MAR16  DFW-SDF  AA5843  CRJ900   N933LR   FIRST      636
SAT  12MAR16  SDF-CLT  AA5400  CRJ900   N585NN   FIRST      291
SAT  12MAR16  CLT-JFK  AA608   AB321    N184US   FIRST      470
SAT  12MAR16  JFK-BHX  AA130   757      N185AN   BUSINESS  2936
SUN  13MAR16  BHX-AMS  BE103   DASH8    G-ECOE   ECON       240
THU  17MAR16  AMS-LCY  BA8460  EM190    G-LCYJ   ECON       181
FRI  18MAR16  BHX-JFK  AA131   757      N187AN   BUSINESS  2936
FRI  18MAR16  JFK-IND  AA4363  EM175    N442YX   FIRST      577
SAT  19MAR16  IND-DFW  AA306   MD80     N9618A   ECON       661

FRI  25MAR16  DFW-LGA  AA2182  737      N883NN   ECON      1206
SAT  26MAR16  AVP-PHL  AA4924  DASH8    N936HA   ECON        91
SAT  26MAR16  PHL-FRA  AA700   AB330    N286AY   BUSINESS  3433
SUN  27MAR16  FRA-SPU  OU413   AB319    9A-CTL   ECON       503
TUE  29MAR16  SPU-ZAG  OU381   DASH8    9A-CQA   ECON       132
THU  31MAR16  ZAG-FRA  OU414   AB319    9A-CTH   ECON       397
FRI   1APR16  FRA-EWR  LH402   747      D-ABYK   ECON      3363
SAT   2APR16  LGA-DFW  AA1162  737      N973AN   ECON      1206

THU  14APR16  DFW-MEM  AA3358  EM175    N220NN   ECON       375
THU  14APR16  MEM-LGA  AA4414  EM175    N408YX   FIRST      836
SUN  17APR16  LGA-STL  AA4597  EM170    N811MD   ECON       771

FRI   6MAY16  DFW-SAF  AA2821  CRJ200   N906EV   ECON       478
SUN   8MAY16  ABQ-DFW  AA5721  CRJ900   N915FJ   FIRST      494

TUE  10MAY16  DFW-EWR  AA1161  737      N915NN   ECON      1192
THU  12MAY16  EWR-DFW  AA2262  737      N948NN   ECON      1192

SUN  15MAY16  DFW-CMH  AA2180  MD80     N483A    FIRST      804
SUN  15MAY16  CMH-PHL  AA4459  EM175    N126HQ   ECON       353
WED  18MAY16  EWR-ORD  AA1192  MD80     N571AA   ECON       625
WED  18MAY16  ORD-DFW  AA91    737      N814NN   ECON       698

THU  26MAY16  DFW-BWI  AA2248  MD80     N403A    FIRST     1057
THU  26MAY16  BWI-PHL  AA4854  DASH8    N814EX   ECON        78
THU  26MAY16  PHL-IPT  AA4750  DASH8    N930HA   ECON       113
MON  30MAY16  IPT-PHL  AA4762  DASH8    N943HA   ECON       113
MON  30MAY16  PHL-CLT  AA1789  AB320    N105UW   ECON       390
MON  30MAY16  CLT-DFW  AA844   AB321    N580UW   ECON       812

THU   9JUN16  DFW-MFE  AA2313  MD80     N7547A   ECON       407
THU   9JUN16  MFE-DFW  AA5740  CRJ900   N919FJ   ECON       407

FRI  17JUN16  DFW-EWR  AA132   737      N916NN   ECON      1192
SAT  18JUN16  JFK-MAN  AA210   767      N395AN   BUSINESS  2902
SUN  19JUN16  MAN-CPH  SK540   CRJ900   OY-KFA   ECON       539
THU  23JUN16  CPH-OSL  SK1464  737      LN-RPM   ECON       280
SUN  26JUN16  OSL-KEF  SK4787  737      LN-RPR   ECON       966
SUN  26JUN16  KEF-ORD  FI853   767      TF-ISO   ECON      2558
SUN  26JUN16  ORD-MCI  AA4322  EM175    N135HQ   ECON       350
MON  27JUN16  MCI-DFW  AA340   MD80     N481AA   ECON       400

SUN   3JUL16  DFW-XNA  AA3599  EM175    N227NN   ECON       243
SUN   3JUL16  XNA-DFW  AA3192  EM175    N230NN   FIRST      243

THU   7JUL16  DFW-PHL  AA536   AB321    N546UW   ECON      1131
THU   7JUL16  PHL-ITH  AA4830  DASH8    N838EX   ECON       166
FRI   8JUL16  ITH-PHL  AA4830  DASH8    N804EX   ECON       166
SUN  10JUL16  PHL-MCI  AA4472  EM175    N131HQ   FIRST      902
SUN  10JUL16  MCI-DFW  AA1568  737      N944AN   ECON       400

SAT  16JUL16  DFW-BDL  AA2490  737      N934AN   ECON      1278
SUN  17JUL16  LGA-CMH  AA4420  EM175    N109HQ   ECON       416
MON  18JUL16  CMH-DFW  AA938   MD80     N438AA   ECON       804

MON  25JUL16  DFW-PHL  AA536   AB321    N924US   ECON      1131
MON  25JUL16  PHL-ITH  AA4830  DASH8    N807EX   ECON       166
WED  27JUL16  ITH-PHL  AA4785  DASH8    N816EX   ECON       166
WED  27JUL16  PHL-CMH  AA4591  EM175    N120HQ   ECON       353
WED  27JUL16  CMH-DFW  AA2347  MD80     N566AA   ECON       804

SAT   6AUG16  DFW-IAD  AA1008  MD80     N9681B   FIRST     1017
SUN   7AUG16  IAD-CLT  AA5031  CRJ900   N593NN   FIRST      279
SUN   7AUG16  CLT-IAH  AA745   AB321    N567UW   ECON       792
MON   8AUG16  IAH-DFW  AA2404  AB319    N4005X   ECON       195

WED  17AUG16  DFW-LHR  AA80    777      N757AN   BUSINESS  4128
THU  18AUG16  LHR-CPH  BA820   AB320    G-EUYS   ECON       530
TUE  23AUG16  HAM-LCY  BA3296  DO328    D-CIRI   ECON       385
WED  24AUG16  LHR-DFW  AA51    777      N729AN   BUSINESS  4128

MON   5SEP16  DFW-XNA  AA3684  CRJ700   N536EA   ECON       243
MON   5SEP16  XNA-DFW  AA3192  EM175    N231AN   ECON       243

FRI   9SEP16  DFW-LGA  AA138   737      N935NN   ECON      1206
SUN  11SEP16  LGA-DFW  AA1144  AB321    N146AA   ECON      1206

FRI  14OCT16  DFW-LHR  AA80    777      N751AN   ECON      4128
SAT  15OCT16  LHR-MUC  LH2477  AB319    D-AILA   ECON       511
SAT  22OCT16  LJU-WAW  LO616   DASH8    SP-EQI   ECON       439
SAT  22OCT16  WAW-LHR  BA851   AB320    G-EUUM   ECON       796
SUN  23OCT16  LHR-DFW  AA51    777      N717AN   ECON      4128

SAT   5NOV16  DFW-DRO  AA5789  CRJ900   N938LR   FIRST      585
SUN   6NOV16  DRO-PHX  AA3056  CRJ700   N728SK   ECON       305
SUN   6NOV16  PHX-DFW  AA1508  737      N965NN   FIRST      754

FRI  18NOV16  DFW-DSM  AA2423  737      N973AN   ECON       201
FRI  18NOV16  DSM-DFW  AA5986  CRJ900   N912FJ   FIRST      543

FRI  23DEC16  DFW-AUS  AA2646  AB321    N147AA   ECON       165
FRI  23DEC16  AUS-PHX  AA5915  CRJ900   N247LR   FIRST      757
MON  26DEC16  TUS-DFW  AA1583  737      N960NN   FIRST      706

MON   2JAN17  DFW-GGG  AA3245  EM145    N659AE   ECON       122
MON   2JAN17  GGG-DFW  AA2860  EM145    N678AE   ECON       122

FRI   6JAN17  DFW-LGA  AA1164  AB321    N143AN   ECON      1206
MON   9JAN17  PHL-MSP  AA1686  EM190    N963UW   ECON       852
MON   9JAN17  MSP-DFW  AA1210  737      N964NN   ECON       740

FRI  13JAN17  DFW-SEA  AA442   AB321    N581UW   FIRST     1442
SUN  15JAN17  SEA-DFW  AA2674  737      N931NN   ECON       557

SAT   4MAR17  DFW-GRK  AA5721  CRJ900   N913FJ   ECON       117
SAT   4MAR17  AUS-DFW  AA1221  MD80     N9620D   ECON       165

FRI  17MAR17  DFW-FSM  AA3733  CRJ700   N507AE   ECON       197
SUN  19MAR17  LIT-DFW  AA3360  EM175    N220NN   FIRST      264

THU  23MAR17  BPT-DFW  AA3244  EM145    N681AE   ECON       235

TUE   4APR17  DFW-HOU  AA3382  EM175    N235NN   ECON       214
TUE   4APR17  HOU-DFW  AA5934  CRJ900   N943LR   ECON       214

SAT   8APR17  DFW-FRA  AA70    777      N752AN   BUSINESS  4470
SUN   9APR17  FRA-VIE  OS134   AB319    OE-LDE   ECON       337
TUE  18APR17  BUD-LHR  BA867   AB320    G-EUUY   ECON       806
WED  19APR17  LHR-DFW  AA81    777      N735AT   BUSINESS  4128

SUN   7MAY17  DFW-ACT  AA3801  EM145    N652RS   ECON        77
SUN   7MAY17  ACT-DFW  AA3753  EM145    N682AE   ECON        77

SUN  14MAY17  DFW-GRR  AA3712  EM175    N251NN   FIRST      809
SUN  14MAY17  GRR-DFW  AA3589  EM175    N227NN   FIRST      809

SAT  27MAY17  DFW-SLC  AA2627  737      N941NN   FIRST      859
MON  29MAY17  SLC-DFW  AA2629  737      N979AN   ECON       859

WED  31MAY17  DFW-FRA  AA70    777      N780AN   BUSINESS  4470
THU   1JUN17  FRA-CPH  LH828   AB320    D-AIQD   ECON       367
SUN   4JUN17  CPH-FRA  SK1635  AB319    OY-KBP   ECON       367
MON   5JUN17  FRA-PHL  AA751   AB330    N286AY   BUSINESS  3433
MON   5JUN17  PHL-DFW  AA1647  AB321    N975UY   ECON      1131

WED  14JUN17  DFW-HOU  AA3382  EM175    N255NN   ECON       214
WED  14JUN17  HOU-DFW  AA5934  CRJ900   N249LR   ECON       214

MON   3JUL17  DFW-BOS  AA2328  AB321    N149AN   FIRST     1356
THU   6JUL17  BOS-DFW  AA2251  757      N191AN   ECON      1356

FRI  14JUL17  DFW-DCA  AA1460  AB321    N934AA   ECON      1035
SAT  15JUL17  DCA-PNS  AA4435  EM175    N431YX   FIRST      709
SAT  15JUL17  PNS-DFW  AA3722  EM175    N249NN   ECON       524

THU  27JUL17  DFW-DCA  AA1460  AB321    N159AN   ECON      1035
THU  27JUL17  DCA-LGA  AA2153  737      N939AN   ECON       187
THU  27JUL17  LGA-BOS  AA2122  EM190    N954UW   ECON       160
SUN  30JUL17  BOS-DCA  AA2169  EM190    N967UW   ECON       347
SUN  30JUL17  DCA-DAL  WN5166  737      N437WN   ECON      1028

TUE   1AUG17  DFW-IAH  AA1054  MD80     N555AN   ECON       195
TUE   1AUG17  HOU-DFW  AA2794  CRJ700   N612QX   ECON       214

FRI   4AUG17  DFW-IAD  AA1261  737      N941AN   ECON      1017
SAT   5AUG17  IAD-SDF  UA4708  EM145    N11119   ECON       392
SAT   5AUG17  SDF-DFW  AA5746  CRJ900   N902FJ   ECON       636

SAT  19AUG17  DFW-SDF  AA5746  CRJ900   N930LR   ECON       636
MON  21AUG17  SDF-DFW  AA5746  CRJ900   N329MS   ECON       636

TUE  29AUG17  DFW-PHL  AA488   AB321    N923US   ECON      1131
TUE  29AUG17  PHL-FRA  LH427   AB340    D-AIFA   ECON      3433
WED  30AUG17  FRA-CPH  SK640   AB320    OY-KAU   ECON       367
WED  30AUG17  CPH-GOT  SK436   CRJ900   OY-KFH   ECON       124
MON   4SEP17  CPH-BOS  SK927   AB330    LN-RKM   ECON      3191
MON   4SEP17  BOS-DFW  AA1430  AB321    N934AA   ECON      1356

FRI  15SEP17  DFW-BOS  AA2227  AB321    N931AM   ECON      1356
SUN  17SEP17  BOS-LGA  AA2141  EM190    N963UW   ECON       160
MON  18SEP17  LGA-DFW  AA125   AB321    N993AN   ECON      1206

WED  20SEP17  DFW-LHR  AA78    777      N720AN   ECON      4128
SAT  23SEP17  LHR-DFW  AA79    777      N732AN   ECON      4128

FRI  29SEP17  DFW-EWR  AA132   737      N935AN   ECON      1192
SUN   1OCT17  LGA-DTW  AA3275  EM145    N923AE   ECON       436
SUN   1OCT17  DTW-DFW  AA1014  MD80     N964TW   ECON       857

FRI  20OCT17  DFW-EWR  AA132   737      N987AN   ECON      1192
SAT  21OCT17  EWR-BGR  UA3442  EM175    N723YX   ECON       341
SUN  22OCT17  BOS-PHL  AA714   AB321    N162UW   ECON       243
SUN  22OCT17  PHL-SDF  AA4258  CRJ200   N462AW   ECON       501
MON  23OCT17  SDF-DFW  AA5752  CRJ900   N959LR   FIRST      636

THU  23NOV17  DFW-PHL  AA702   AB321    N561UW   FIRST     1131
THU  23NOV17  PHL-LHR  AA736   AB330    N273AY   BUSINESS  3081
FRI  24NOV17  LHR-LIN  BA588   AB319    G-EUPA   ECON       531
MON  27NOV17  BLQ-CPH  SK2686  CRJ900   EI-FPJ   ECON       668
WED  29NOV17  CPH-CDG  SK565   AB320    OY-KAL   ECON       544
THU  30NOV17  CDG-DFW  AA49    787      N827AN   ECON      4300

SUN  10DEC17  DFW-MHK  AA2841  CRJ700   N615QX   FIRST      374
SUN  10DEC17  MHK-DFW  AA2833  CRJ700   N617QX   ECON       374

SAT  16DEC17  DFW-AUS  AA2222  AB321    N931AM   ECON       165
SAT  16DEC17  AUS-DFW  AA1221  AB321    N138AN   ECON       165
SUN  17DEC17  DFW-TLH  AA3577  EM175    N225NN   FIRST      666
SUN  17DEC17  TLH-MIA  AA3508  EM145    N651AE   ECON       349
SUN  17DEC17  MIA-MVD  AA989   767      N385AM   ECON      3872
THU  21DEC17  EZE-DFW  AA996   777      N770AN   ECON      4586

SAT  30DEC17  DFW-ELP  AA2581  MD80     N7548A   ECON       479
SUN  31DEC17  ELP-DFW  AA2777  737      N958AN   FIRST      479

SUN  14JAN18  DFW-BOS  AA1172  737      N346PR   ECON      1356
MON  15JAN18  BOS-DFW  AA2607  AB321    N165NN   ECON      1356

FRI  26JAN18  DFW-DCA  AA610   AB320    N660AW   ECON      1035
SUN  28JAN18  DCA-CLE  AA4381  EM145    N610AE   ECON       270
SUN  28JAN18  CLE-DFW  AA1426  MD80     N972TW   ECON       887

FRI   2FEB18  DFW-LHR  AA78    777      N735AT   BUSINESS  4128
SUN   4FEB18  LHR-CPH  SK504   AB320    EI-SIA   ECON       530
MON   5FEB18  CPH-LHR  SK1517  AB320    OY-KAW   ECON       530
TUE   6FEB18  LHR-DFW  AA51    777      N720AN   BUSINESS  4128

WED   7MAR18  DFW-BOS  AA296   737      N918AN   ECON      1356
THU   8MAR18  BOS-DFW  AA2607  AB321    N998AN   ECON      1356

WED  21MAR18  DFW-PVG  AA127   787      N822AN   BUSINESS  6389
THU  22MAR18  PVG-KHH  BR705   AB321    B-16213  ECON       518
SUN  25MAR18  TPE-ICN  TG634   777      HS-TKC   ECON       787
WED  28MAR18  ICN-PEK  KE855   777      HL7534   ECON       292
MON   2APR18  PEK-LAX  AA180   787      N829AN   BUSINESS  5432
MON   2APR18  LAX-DFW  AA1347  AB321    N998AN   ECON      1072

FRI  13APR18  DFW-PHL  AA1688  AB321    N576UW   ECON      1131
SAT  14APR18  PHL-SBY  AA4905  EM145    N603KC   ECON        93
SUN  15APR18  SBY-CLT  AA4787  DASH8    N330EN   ECON       322
SUN  15APR18  CLT-IND  AA4648  EM175    N116HQ   ECON       371
SUN  15APR18  IND-DFW  AA1382  MD80     N9681B   ECON       661

FRI  20APR18  DFW-PHL  AA2762  757      N692AA   ECON      1131
FRI  20APR18  PHL-AMS  AA204   767      N379AA   ECON      3247
MON  23APR18  AMS-PHL  AA203   767      N395AN   ECON      3247
MON  23APR18  PHL-DFW  AA1647  AB321    N539UW   ECON      1131

SAT  12MAY18  DFW-LHR  AA80    777      N735AT   FIRST     4128
WED  16MAY18  LHR-DFW  AA81    777      N735AT   BUSINESS  4128

SAT  26MAY18  DFW-YVR  AA1264  737      N803NN   ECON      1523
SUN  27MAY18  CXH-ZNA  H31131 DHC3     C-FITF   ECON        33
MON  28MAY18  YVR-DFW  AA1189  737      N950NN   ECON      1523
