#DAY  DATE     ROUTE    FLT NO  AIRCRAFT          CLASS  MILEAGE   TOTAL

SUN   3NOV91  FRA-ORD  AA83    767      N351AA   BUSINESS  3775  193483
SUN   3NOV91  ORD-DFW  AA579   767      N351AA   ECON       698  194181

WED  27NOV91  DFW-SLC  AA1267  MD80     N244AA   FIRST      858  195039
SUN   1DEC91  SLC-DFW  AA482   MD80     N7514A   FIRST      858  195897

TUE  14JAN92  DFW-LGW  AA50    DC10     N144AA   FIRST     4146  200043
SAT  18JAN92  LHR-ORD  AA47    DC10     N137AA   FIRST     3435  203478
SAT  18JAN92  ORD-DFW  AA1037  727      N870AA   FIRST      698  204176

FRI  21FEB92  DFW-MIA  AA1634  727      N701AA   FIRST      973  205149
SUN  23FEB92  FLL-DFW  AA1751  727      N858AA   ECON       972  206121

FRI  20MAR92  DFW-LGA  AA1166  MD80     N593AA   ECON      1206  207327
SUN  22MAR92  LGA-DFW  AA255   DC10     N131AA   FIRST     1206  208533

TUE  14APR92  DFW-LGW  AA50    DC10     N164AA   BUSINESS  4146  212679
SUN  19APR92  LGW-DFW  AA51    DC10     N144AA   BUSINESS  4146  216825

WED  22APR92  DFW-YYC  AA1331  MD80     N70425   ECON      1323  218148
FRI  24APR92  YYC-DFW  AA856   MD80     N417AA   FIRST     1323  219471

SUN  24MAY92  DFW-BOS  AA1364  MD80     N7520A   FIRST     1357  220828
MON  25MAY92  BOS-DFW  AA287   DC10     N125AA   ECON      1357  222185

SAT  30MAY92  DFW-HOU  AA1344  MD80     N430AA   ECON       214  222399
SUN  31MAY92  HOU-DFW  AA340   MD80     N245AA   ECON       214  222613

FRI  19JUN92  DFW-YYZ  AA458   757      N666A    ECON      1042  223655
SUN  21JUN92  YYZ-DFW  AA1588  727      N864AA   ECON      1042  224697

SAT  11JUL92  DFW-GUA  AA991   757      N649AA   FIRST     1150  225847
SAT  11JUL92  GUA-SJO  AA991   757      N649AA   FIRST      460  226307
THU  16JUL92  SJO-MIA  AA972   727      N895AA   FIRST      968  227275
THU  16JUL92  MIA-DFW  AA339   727      N1903    ECON       973  228248

SAT  22AUG92  DFW-ONT  AA493   MD80     N207AA   FIRST     1032  229692
SUN  23AUG92  ONT-DFW  AA1820  MD80     N7536A   FIRST     1032  230724

THU   3SEP92  DFW-IAH  AA1755  MD80     N16545   ECON       195  230919
THU   3SEP92  IAH-DFW  AA1798  727      N6825    ECON       195  231114

SAT   5SEP92  DFW-SJU  AA646   757      N657AM   ECON      1879  232993
MON   7SEP92  SJU-DFW  AA1147  757      N662AA   ECON      1879  234872

THU  22OCT92  DFW-LGW  AA50    DC10     N137AA   BUSINESS  4146  239018
SUN  25OCT92  LHR-BRU  SN602   737      OO-SYB   ECON       190  239208
TUE  27OCT92  BRU-CDG  SN911   737      OO-SYA   ECON       137  239345
WED  28OCT92  ORY-DFW  AA49    MD11     N1753    BUSINESS  4303  243648

SAT  21NOV92  DFW-MIA  AA1208  727      N6831    ECON       973  244621
SAT  21NOV92  MIA-SCL  AA911   767      N362AA   BUSINESS  3573  248194
TUE  24NOV92  SCL-ZCO  LA67    BAE146   CC-CEN   ECON       334  248528
TUE  24NOV92  ZCO-PMC  LA67    BAE146   CC-CEN   ECON       162  248690
TUE  24NOV92  PMC-PUQ  LA85    737      CC-CJW   ECON       699  249389
SUN  29NOV92  PUQ-PMC  LA84    737      CC-CDG   ECON       699  250088
SUN   6DEC92  SCL-MIA  AA912   767      N370AA   BUSINESS  3573  253661
MON   7DEC92  MIA-DFW  AA741   727      N887AA   ECON       973  254634

SAT  23JAN93  DFW-DEN  AA1697  MD80     N7526A   ECON       560  255194
MON  25JAN93  DEN-DFW  AA776   MD80     N429AA   ECON       560  255754

FRI  26FEB93  DFW-ELP  AA521   MD80     N406A    ECON       478  256232
SUN  28FEB93  ELP-DFW  AA210   MD80     N7512A   ECON       478  256710

FRI  26MAR93  DFW-LGA  AA1166  MD80     N290AA   ECON      1206  257916
SUN  28MAR93  LGA-DFW  AA255   757      N649AA   ECON      1206  259122

SAT  29MAY93  DFW-SLC  AA2287  MD80     N236AA   FIRST      858  259980
SAT  29MAY93  SLC-IDA  AA2287  MD80     N236AA   FIRST      163  260143
FRI   4JUN93  IDA-SLC  AA1916  MD80     N445AA   FIRST      163  260306
FRI   4JUN93  SLC-DFW  AA2082  MD80     N460AA   ECON       858  261164

WED  23JUN93  DFW-LGW  AA50    MD11     N1754    ECON      4146  265310
SAT  26JUN93  LHR-JFK  AA115   MD11     N1759    ECON      2999  268309
SAT  26JUN93  LGA-DFW  AA25    757      N631AA   ECON      1206  269515

TUE  29JUN93  DFW-MSP  AA832   x x x x x
WED  30JUN93  MSP-DFW  AA1226  x x x x x

FRI   2JUL93  DFW-ORD  AA2358  x x x x x
FRI   2JUL93  ORD-GLA  AA52    x x x x x
MON   5JUL93  MAN-ORD  AA121   767      N381AN   BUSINESS  3324  278465
MON   5JUL93  ORD-DFW  AA2249  MD80     N479AA   ECON       698  279163

WED  14JUL93  DFW-GUA  AA991   757      N659AA   FIRST     1150  280313
THU  15JUL93  GUA-MIA  AA920   727      N710AA   FIRST      883  281196
THU  15JUL93  MIA-DFW  AA978   727      N870AA   ECON       973  282169

THU  22JUL93  DFW-LGW  AA50    x x x x x
SAT  14AUG93  LGW-DFW  AA51    x x x x x

FRI  27AUG93  DFW-ABQ  AA     x x x x x
SAT  28AUG93  ABQ-DFW  AA     x x x x x

FRI  22OCT93  DFW-MIA  AA1208 x x x x x
SUN  24OCT93  PBI-DFW  AA279  x x x x x

SAT  30OCT93  DFW-CRP  AA1021  MD80     N478AA   ECON       307  304664
SUN  31OCT93  CRP-DFW  AA3562  ATR72    N274AT   ECON       307  304971

FRI   5NOV93  DFW-PBI  AA1276  x x x x x
SUN   7NOV93  PBI-DFW  AA279   x x x x x

FRI  14JAN94  DFW-SAT  AA738   x x x x x
SUN  16JAN94  SAT-DFW  AA1777  x x x x x

FRI  18MAR94  DFW-LGA  AA1166  MD80     N494AA   ECON      1206  316229
SUN  20MAR94  EWR-DFW  AA583   MD80     N574AA   ECON      1192  317421

SAT  26MAR94  DFW-FLL  AA1142  727      N6809    ECON       972  318393
SUN  27MAR94  PBI-MIA  AA5610  JS31     N938AE   ECON        54  318447
MON  28MAR94  MIA-DFW  AA1433  757      N645AA   ECON       973  319420

SAT  30APR94  DFW-IAH  AA845   727      N6818    ECON       195  321685
SAT  30APR94  HOU-DFW  AA279   MD80     N223AA   ECON       215  321900

FRI   6MAY94  DFW-OAK  AA1625  MD80     N556AA   ECON      1265  323165
MON   9MAY94  OAK-DFW  AA1814  MD80     N448AA   ECON      1265  324430
MON   9MAY94  DFW-STL  AA1074  727      N6805    ECON       478  324908
TUE  10MAY94  STL-ORD  AA1508  727      N6823    ECON       226  325134
TUE  10MAY94  ORD-SAN  AA1731  767      N317AA   ECON      1497  326631
FRI  13MAY94  SAN-DFW  AA1626  MD80     N583AA   FIRST     1016  327647

THU  24NOV94  DFW-GSO  AA1388  F100     N1412A   ECON       868  332741
SAT  26NOV94  GSO-DFW  AA1709  F100     N1419D   ECON       868  333609

MON   6MAR95  DFW-BNA  AA1352  MD80     N495AA   ECON       548  338355
MON   6MAR95  BNA-LGW  AA138   767      N332AA   ECON      3651  342006
TUE  21MAR95  LHR-PHL  AA7     767      N327AA   ECON      3081  345087
TUE  21MAR95  PHL-DFW  AA7     MD80     N498AA   ECON      1131  346218

SAT   4NOV95  DFW-SNA  AA733 x x x x x
SUN   5NOV95  SNA-DFW  AA1980    x x x x x

WED  29NOV95  DFW-SAN  AA1023  MD80     N255AA   ECON      1016  356148
WED   6DEC95  SAN-DFW  AA403   MD80     N70404   ECON      1016  357164

SAT  11MAY96  DFW-SAT  AA2363  MD80     N244AA   ECON       214  370801
SAT  11MAY96  SAT-DFW  AA2271  MD80     N443AA   ECON       214  371015

FRI  17MAY96  DFW-LAX  AA1221  MD80     N295AA   ECON      1072  372087
FRI  17MAY96  LAX-IYK  UA7873  BE1900   N146ZV   ECON       107  372194
SUN  19MAY96  IYK-LAX  AA3283  JS32     N958AE   ECON       107  372301
SUN  19MAY96  LAX-DFW  AA1628  757      N642AA   ECON      1072  373373

SAT  25MAY96  DFW-LGW  AA78    x x x x x
TUE  28MAY96  LGW-DFW  AA79    x x x x x

SUN   9JUN96  DFW-LGW  AA78    767      N7375A   ECON      4146   19111
SAT   6JUL96  BHX-ORD  AA23    767      N323AA   ECON      3365   22476
SAT   6JUL96  ORD-DFW  AA2269  MD80     N575AM   ECON       698   23174

FRI   2AUG96  DFW-LGW  AA78    767      N378AN   ECON      4146   27320
SAT  24AUG96  LGW-DFW  AA79    767      N376AN   ECON      4146   31466

TUE   3SEP96  DFW-LGW  AA78    767      N361AA   ECON      4146   35612
SUN  29SEP96  LGW-DFW  AA79    767      N389AA   ECON      4146   39758

TUE   3DEC96  DFW-MIA  AA780   727      N880AA   ECON       973  462177
TUE   3DEC96  MIA-TPA  AA5831  SF340    N174AE   ECON       177  462354
SAT   7DEC96  TPA-DFW  AA1883  727      N859AA   ECON       807  463161

SAT   1FEB97  DFW-TPA  AA1428  727      N6813    ECON       807  463968
MON   3FEB97  MCO-MIA  AA903   AB300    N7082A   ECON       167  464135
MON   3FEB97  MIA-DFW  AA1025  727      N879AA   ECON       973  465108

MON   2JUN97  DFW-PDX  AA839   MD80     N7538A   ECON      1403  477166
SAT   7JUN97  PDX-ORD  AA1642  MD80     N76201   ECON      1510  478676
SAT   7JUN97  ORD-DFW  AA2359  MD80     N233AA   ECON       698  479374

FRI   4JUL97  DFW-CLE  AA1158  MD80     N575AM   ECON       887  480261
SAT   5JUL97  CLE-DFW  AA1909  727      N894AA   ECON       887  481148

SUN  13JUL97  DFW-LGW  AA50    767      N368AA   ECON      4146  485294
SAT   2AUG97  LHR-EWR  VS1     747      G-VFAB   ECON      3011   56204
SUN   3AUG97  EWR-DFW  AA1649  727      N885AA   ECON      1192  500244

THU  27NOV97  DFW-SNA  AA537   757      N633AA   ECON      1046  568592
TUE   2DEC97  SNA-DFW  AA276   757      N671AA   ECON      1046  569638

THU   1JAN98  DFW-MAF  AA3559  SF340    N398AM   ECON       268  569906
THU   1JAN98  MAF-DFW  AA3630  SF340    N344SB   ECON       268  570174

FRI  10APR98  DFW-IAH  AA2047  MD80     N413AA   ECON       195  581853
SUN  12APR98  HOU-DFW  AA3548  ATR72    N447AM   ECON       214  582067

SAT  18APR98  DFW-MFE  AA1423  F100     N1451N   ECON       407  582474
SAT  18APR98  MFE-DFW  AA1237  F100     N1429G   ECON       407  582881

MON  18MAY98  DFW-RDU  AA1580  MD80     N516AM   ECON       922  600972
SAT  30MAY98  RDU-DFW  AA1027  MD80     N483A    ECON       922  601944

SAT  11JUL98  DFW-ORD  AA2330  757      N647AM   ECON       698  629642
SUN  12JUL98  ORD-DFW  AA2269  MD80     N233AA   ECON       698  630340

SAT  25JUL98  DFW-LGW  AA50    767      N394AN   ECON      4146  634486
SUN  16AUG98  MAN-DFW  AA111   767      N383AN   ECON      4020  654838

FRI   4SEP98  DFW-BOS  AA1940  MD80     N479AA   ECON      1356  656194
MON   7SEP98  BOS-DFW  AA819   MD80     N592AA   ECON      1356  657550

SAT  26SEP98  DFW-AMA  AA761   F100     N1418A   ECON       271  657821
SAT  26SEP98  AMA-DFW  AA580   F100     N1435D   ECON       271  658092

WED  10MAR99  DFW-MIA  AA786   767      N352AA   ECON       973  720140
WED  10MAR99  MIA-SCL  AA911   767      N362AA   ECON      3573  723713
SAT  13MAR99  SCL-PMC  LA991   737      CC-CHS   ECON       495  724208
